time,lat,lon,depth,cruise,station,cast,C14_assimilation_nano_mean,C14_assimilation_nano_stdev,filter_min,bottle,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-02-13T12:00:00,22.75,158,5,249,2,1,0.084635129559181,0.0169869781554679,3,"""20,21,22""",24.493082364400227,23.60391966501872,35.14534346262614,0.0180181892380157,0.1047418837745984,2.449930727481842,4.839544574419658,2.46865914779e-05,0.1876352783293958,216.2350794475,5.851771354674999,0.0005564405303933,0.0455901088037791,0.5354776692887917
2012-02-13T12:00:00,22.75,158,25,249,2,1,0.0762577301473883,0.0041329297687986,3,"""17,18,19""",24.38898277282715,23.738452275594074,35.17241414388021,0.0650926589344938,0.0996129574875036,3.467751681804657,4.824688156445821,3.28945552862e-05,0.1868522506622222,216.28745015466663,5.848934729894999,0.0004592068111784,0.0461515817377388,0.5319515069324999
2012-02-13T12:00:00,22.75,158,45,249,2,1,0.0534555381075665,0.0059043134217249,3,"""14,15,16""",24.24065732955933,23.88954035441081,35.17403507232666,0.0713961760823925,0.1000173731396595,4.260336438814799,4.814523975054423,5.44376081279e-05,0.1852021316686667,216.55121994016667,5.843888084094167,0.0004081538063474,0.0472542649756083,0.52578987677875
2012-02-13T12:00:00,22.75,158,75,249,2,1,0.0215309880393669,0.0057136204714217,3,"""11,12,13""",23.8469139734904,24.21545696258545,35.18648274739584,0.0790429615105191,0.0973765061547358,4.513179540634155,4.846227566401164,0.000460869986758,0.1778905391693333,222.40149434433337,5.9137629667916665,0.0003798985174701,0.0630493393788666,0.5163494944571666
2012-02-13T12:00:00,22.75,158,100,249,2,1,0.0055692621239386,0.0009962557944214,3,"""8,9,10""",23.215898990631104,24.52855372428894,35.188087463378906,0.0852278429083526,0.0933900931850075,4.790738463401794,4.816253125667572,,,,,,,
2012-02-13T12:00:00,22.75,158,125,249,2,1,0.0030509470211547,0.0006066236505914,3,"""5,6,7""",21.915772914886475,25.05181074142456,35.09117603302002,0.2503618821501732,0.1390426494181156,5.325546860694885,4.751274108886719,,,,,,,
2012-03-07T12:00:00,22.75,158,5,250,2,2,0.0747321269042355,0.0092822077928005,3,"""21,22,23""",24.11206833521525,23.745874245961502,35.143921852111816,0.0727496184408664,0.0879800015439589,1.9988957345485687,4.799680630366008,0.0029426772403192,0.2061083878699792,216.12205346427083,6.068142990270832,0.0011114858079961,0.0634894290706145,0.6215569972991771
2012-03-07T12:00:00,22.75,158,25,250,2,2,0.0663701924447265,0.0019873958280164,3,"""17,18,19""",23.9355951944987,23.9369961420695,35.16736698150635,0.077795447781682,0.0857047419995069,1.893659730752309,4.809233824412028,0.0049848524950974,0.2057326630585,216.717666626,6.073098699252223,0.0011799880028574,0.0689948365713277,0.6288923107914721
2012-03-07T12:00:00,22.75,158,45,250,2,2,0.054945569122575,0.0064493318752981,3,"""14,15,16""",23.67701594034831,24.14870802561442,35.16658687591553,0.0704774716868996,0.089988241593043,1.8608462313810985,4.877778331438701,0.0103009354631739,0.2053988780825416,217.34213002512504,6.086991846561666,0.0012940741265387,0.0861075214731541,0.6744863614439582
2012-03-07T12:00:00,22.75,158,75,250,2,2,0.0311322062114472,0.0041144843539967,3,"""11,12,13""",23.21937465667725,24.44541533788045,35.15126005808512,0.1210381550093491,0.0777733971675237,2.907598833243052,4.8088581164677935,0.1254365893967647,0.2112182999649166,218.7799453735,6.1712797085433335,0.001791523779198,0.154172828731475,0.75156710545225
