time,lat,lon,depth,cruise,station,cast,C14_assimilation_prochlorococcus,C14_assimilation_synechococcus,C14_assimilation_pico,Bottle
2012-09-14T12:00:00,22.75,-158,45,246,2,1,0.0456157649305044,0.0005615816954706,0.0169995947313439,"""16,17,18"""
2012-09-14T12:00:00,22.75,-158,75,246,2,1,0.0436568467552347,0.0004869868252761,0.0077460913043276,"""13,14,15"""
2012-09-14T12:00:00,22.75,-158,100,246,2,1,0.0574406641210396,0.0002431233584298,0.0061345633870904,"""10,11,12"""
2012-09-14T12:00:00,22.75,-158,125,246,2,1,0.0115413614425441,,0.0019878707998881,"""7,8,9"""
2012-10-18T12:00:00,22.75,-158,5,247,2,1,0.0190385255493029,0.001812616671799,0.0062309056775677,"""19,20,21"""
2012-10-18T12:00:00,22.75,-158,25,247,2,1,0.0413697253217648,0.0014951043102319,0.0118731680145908,"""16,17,18"""
2012-10-18T12:00:00,22.75,-158,45,247,2,1,0.0298779676475065,0.0003327052254735,0.0130504508208078,"""13,14,15"""
2012-10-18T12:00:00,22.75,-158,75,247,2,1,0.0146618951388062,0.0009785664008744,0.0071847936781043,"""10,11,12"""
2012-10-18T12:00:00,22.75,-158,100,247,2,1,0.0290153552719497,,0.0035005136054863,"""7,8,9"""
2012-10-18T12:00:00,22.75,-158,125,247,2,1,0.0086706146581226,,0.0017264484415463,"""4,5,6"""
2012-12-04T12:00:00,22.75,-158,5,248,2,1,0.145106084713609,0.002886046917391,0.0172597980544375,"""20,21,22"""
2012-12-04T12:00:00,22.75,-158,25,248,2,1,0.0109918561371295,0.0005450007583747,0.0009791943095899,"""17,18,19"""
2012-12-04T12:00:00,22.75,-158,45,248,2,1,0.0768647049652963,0.0012572080298979,0.009168677611343,"""14,15,16"""
2012-12-04T12:00:00,22.75,-158,75,248,2,1,0.0439495506981072,0.0009023385325048,0.0059909565453806,"""11,12,13"""
2012-12-04T12:00:00,22.75,-158,100,248,2,1,0.00847020640768,,0.0042496417089814,"""8,9,10"""
2012-12-04T12:00:00,22.75,-158,125,248,2,1,0.002075508893562,,0.0004374918123587,"""5,6,7"""
2012-08-18T12:00:00,22.75,-158,100,245,2,1,0.080086045934489,,0.0030140595527969,"""8,9,10"""
