time,lat,lon,depth,cruise,station,cast,C14_assimilation_pico_mean,C14_assimilation_pico_stdev,filter_max,filter_min,Bottle,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-02-13T12:00:00,22.75,-158,5,249,2,1,0.184773369419438,0.06773748369589,3,0.2,"""20,21,22""",23.258981863657635,24.022895018259685,35.169419606526695,0.0196682988510777,0.103601299226284,1.4413443108399708,4.946481545766194,1.4476002381e-06,0.2883674291273334,222.8208847048334,6.447436889013335,0.0003847832667816,0.0411547903592333,0.5078740902243958
2012-02-13T12:00:00,22.75,-158,25,249,2,1,0.102853799501425,0.0280911457339429,3,0.2,"""17,18,19""",23.18282429377238,24.131312052408852,35.174973805745445,0.0114991679632415,0.1053579021245241,1.483890990416209,4.9197598695755005,1.4921742364e-06,0.2880272782511667,222.82088470483333,6.440782652960555,0.000333561382528,0.0418540512522,0.5048048281007778
2012-02-13T12:00:00,22.75,-158,45,249,2,1,0.1378296684451059,0.052414590824827,3,0.2,"""14,15,16""",23.086984157562256,24.25643714269002,35.187024434407554,0.0158185337980588,0.1033328336973985,1.5231979091962178,4.916482885678609,1.6806766609e-06,0.2876515810686667,222.84797795641663,6.431496381759168,0.0003042749716163,0.04324684261035,0.4996943697332499
2012-02-13T12:00:00,22.75,-158,75,249,2,1,0.079725657848654,0.000110813358027,3,0.2,"""11,12,13""",22.856654326121014,24.45780865351359,35.20476563771566,0.0292907931531469,0.1108645237982273,1.5011731783548992,4.87395163377126,3.3736346646e-06,0.2866676151751666,223.6021550498333,6.393010616303333,0.0002680232864803,0.04930456293125,0.4815579354761666
2012-02-13T12:00:00,22.75,-158,100,249,2,1,0.039373519851139,0.0151011056543739,3,0.2,"""8,9,10""",22.482670307159424,24.67149519920349,35.217992305755615,0.0797295705415308,0.1281955987215042,1.5775045454502106,4.838728189468384,,,,,,,
2012-02-13T12:00:00,22.75,-158,125,249,2,1,0.033425054325965,0.007422479591273,3,0.2,"""5,6,7""",21.625847339630127,25.034608840942383,35.199296951293945,0.4892679005861282,0.1644325237721204,1.880927413702011,4.728377103805542,,,,,,,
2012-03-07T12:00:00,22.75,-158,5,250,2,2,0.194060971072761,0.0076509169605849,3,0.2,"""21,22,23""",23.286750952402752,23.895831902821858,35.043346087137856,0.0324666365049779,0.0983249228447675,1.3480171859264374,4.90423321723938,1.2682923096e-06,0.2896963804959999,223.0983646711772,6.481474916140624,0.000397463521646,0.041562009486375,0.5169168425102395
2012-03-07T12:00:00,22.75,-158,25,250,2,2,0.25108659299538,0.004849483829651,3,0.2,"""17,18,19""",23.18064324061076,24.06411027908325,35.077487309773765,0.0181214820283154,0.0845138461639483,1.44292014837265,4.902858932813008,1.3312541082e-06,0.2887629345059166,223.08829371136116,6.466528031560833,0.000346878008309,0.0420976044196222,0.514681380656
2012-03-07T12:00:00,22.75,-158,45,250,2,2,0.257953763133011,0.009928057393651,3,0.2,"""14,15,16""",23.02691109975179,24.234227657318115,35.10498142242432,0.0279702465049922,0.0772148221731185,1.4209625323613484,4.899670799573262,2.4410379637e-06,0.2848101531465,223.35372670487504,6.407299101352083,0.0003117502092208,0.0440477323718291,0.5069056463738749
2012-03-07T12:00:00,22.75,-158,75,250,2,2,0.287987363589654,0.0179074442537249,3,0.2,"""11,12,13""",22.683993180592854,24.506888071695965,35.1489642461141,0.0303406131764252,0.0713644338150819,1.450615257024765,4.898350993792216,0.0002286249274262,0.2740548327565833,224.64253107708336,6.247867941855001,0.0002804038861843,0.0556820007040999,0.48393850525225
