time,lat,lon,depth,cruise,stime,etime,itype,chl,phaeo,l12,d12,bsal,pbact,hbact,sbact,ebact,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2015-07-19T00:00:00,22.75,-158,25,HOT274,430.0,1920.0,2,0.052,0.04,7.923,,35.1518,168920.0,410171.0,844.0,529.0,25.440831661224365,23.352518876393635,35.01708475748698,0.0118580121003712,0.0679115264986952,1.1166531493266425,4.7847721974054975,6.171587535340555e-07,0.3082614342371667,214.90010409894447,9.21489800347222,0.0005752933599676,0.0355994568930777,0.5729645358191111
2015-07-19T00:00:00,22.75,-158,45,HOT274,430.0,1920.0,2,0.068,0.059,7.943,,35.2881,210402.0,445573.0,1067.0,1016.0,24.990434328715008,23.57952292760213,35.0545285542806,0.0109560255271693,0.0644538511211673,1.3057759006818137,4.858931501706441,1.0750650858e-06,0.2817227269210833,223.44315338141664,8.931947549183334,0.000357832837229,0.0393313619618583,0.5118880743780833
2015-07-19T00:00:00,22.75,-158,75,HOT274,430.0,1920.0,2,0.123,0.126,6.03,,35.2885,231905.0,471716.0,1711.0,820.0,23.327048937479656,24.261476675669357,35.13976573944092,0.0138037927293529,0.0583314516892035,1.3812252283096311,4.987803061803182,5.78784588469e-05,0.2594315459331667,233.66535949716663,8.612826824188334,0.0002693781837783,0.0503016728908,0.4782457252345
2015-07-19T00:00:00,22.75,-158,100,HOT274,430.0,1920.0,2,0.135,0.287,3.7,,35.3009,141449.0,333739.0,384.0,1666.0,22.34037137031555,24.670114517211918,35.17528820037842,0.0740574579685926,0.075631096959114,1.5579472929239273,4.947809517383575,,,,,,,
2015-07-19T00:00:00,22.75,-158,125,HOT274,430.0,1920.0,2,0.09,0.388,1.293,,35.2075,44357.0,249024.0,0.0,2256.0,21.338520526885983,25.03589773178101,35.17867183685303,0.5678291618824005,0.1218597237020731,1.8741206526756289,4.7527830600738525,,,,,,,
2015-07-19T00:00:00,22.75,-158,150,HOT274,430.0,1920.0,2,0.07,0.207,,,35.1764,20834.0,228846.0,0.0,1514.0,20.382094860076904,25.407191276550293,35.135199546813965,1.50505793094635,0.1829684041440487,2.3182683289051056,4.677075743675232,,,,,,,
2015-07-19T00:00:00,22.75,-158,175,HOT274,430.0,1920.0,2,0.022,0.103,,,35.0315,5544.0,210178.0,0.0,830.0,19.30137300491333,25.75987911224365,35.02339172363281,2.4079338908195496,0.2366106286644935,2.9620747566223145,4.6082048416137695,,,,,,,
2015-08-12T00:00:00,22.75,-158,5,HOT275,405.0,1917.0,2,0.074,0.048,8.383,,35.3086,165232.0,482807.0,589.0,874.0,25.96871328353882,23.146589756011963,35.0520216623942,0.0396354886858413,0.1815417346855004,1.6406154036521912,4.735148111979167,4.889431686195937e-07,0.3203913659478021,211.2467430433229,9.257263104119998,0.0008089374023256,0.0355411663573895,0.5908441587040415
2015-08-12T00:00:00,22.75,-158,25,HOT275,405.0,1917.0,2,0.087,0.081,11.28,,35.36,158370.0,469667.0,755.0,908.0,25.890174865722656,23.262527465820312,35.057369232177734,0.045735170909514,0.1652564952770868,1.56561612089475,4.770880142847697,6.482479240805834e-07,0.3182915772000277,212.7767363654167,9.217385371526111,0.0005963284606372,0.0365618492166194,0.5726869917578334
2015-08-12T00:00:00,22.75,-158,45,HOT275,405.0,1917.0,2,0.108,0.089,8.01,,35.3892,228210.0,499070.0,1219.0,965.0,25.62154944737752,23.4526104927063,35.08309427897135,0.0463107631852229,0.1517875169714292,1.6314579248428345,4.842806498209636,1.1880461604e-06,0.3052514046431249,221.70134035754168,8.951218843460417,0.0003684915839887,0.0404179695372791,0.5105464632312917
