time,lat,lon,depth,cruise,station,cast,C14_assimilation_pico_mean,C14_assimilation_pico_stdev,filter_max,filter_min,Bottle
2012-09-14T12:00:00,22.75,-158,100,246,2,1,0.079947934520522,0.003047088498106,3,0.2,"""10,11,12"""
2012-09-14T12:00:00,22.75,-158,125,246,2,1,0.0114912963380849,0.002733159131188,3,0.2,"""7,8,9"""
2012-10-18T12:00:00,22.75,-158,5,247,2,1,0.069904407914021,0.022407455488819,3,0.2,"""19,20,21"""
2012-10-18T12:00:00,22.75,-158,25,247,2,1,0.1057201007805369,0.016687638000897,3,0.2,"""16,17,18"""
2012-10-18T12:00:00,22.75,-158,45,247,2,1,0.078151589774035,0.032448030107469,3,0.2,"""13,14,15"""
2012-10-18T12:00:00,22.75,-158,75,247,2,1,0.075265317630515,0.011981433665061,3,0.2,"""10,11,12"""
2012-10-18T12:00:00,22.75,-158,100,247,2,1,0.050688497490089,0.010228204612624,3,0.2,"""7,8,9"""
2012-10-18T12:00:00,22.75,-158,125,247,2,1,0.031103803764573,0.006231867957529,3,0.2,"""4,5,6"""
2012-12-04T12:00:00,22.75,-158,5,248,2,1,0.24683957063829,0.01696013687975,3,0.2,"""20,21,22"""
2012-12-04T12:00:00,22.75,-158,25,248,2,1,0.035008085101603,0.013224642531232,3,0.2,"""17,18,19"""
2012-12-04T12:00:00,22.75,-158,45,248,2,1,0.0904927257873999,0.0271944498042529,3,0.2,"""14,15,16"""
2012-12-04T12:00:00,22.75,-158,75,248,2,1,0.058336374111478,0.0106688606152619,3,0.2,"""11,12,13"""
2012-12-04T12:00:00,22.75,-158,100,248,2,1,0.025616981868506,0.012144355549427,3,0.2,"""8,9,10"""
2012-12-04T12:00:00,22.75,-158,125,248,2,1,0.008315156939337,0.003058356195579,3,0.2,"""5,6,7"""
