time,lat,lon,depth,cruise,station,cast,C14_assimilation_nano_mean,C14_assimilation_nano_stdev,filter_min,bottle
2012-10-18T12:00:00,22.75,158,25,247,2,1,0.0487807919586733,0.0045154118916306,3,"""16,17,18"""
2012-10-18T12:00:00,22.75,158,45,247,2,1,0.0460853017927567,0.0052287948231857,3,"""13,14,15"""
2012-10-18T12:00:00,22.75,158,75,247,2,1,0.0248587806056494,0.0063648038911587,3,"""10,11,12"""
2012-10-18T12:00:00,22.75,158,100,247,2,1,0.0062288264530251,0.0016900210944304,3,"""7,8,9"""
2012-10-18T12:00:00,22.75,158,125,247,2,1,0.0023631963925502,0.0002059426534158,3,"""4,5,6"""
2012-12-04T12:00:00,22.75,158,5,248,2,1,0.0612911356907802,0.0018371689157574,3,"""20,21,22"""
2012-12-04T12:00:00,22.75,158,25,248,2,1,0.0388999918108606,,3,"""17,18,19"""
2012-12-04T12:00:00,22.75,158,45,248,2,1,0.0180205616589113,0.0056945088129372,3,"""14,15,16"""
2012-12-04T12:00:00,22.75,158,75,248,2,1,0.0101474537146109,0.0031046257072505,3,"""11,12,13"""
2012-12-04T12:00:00,22.75,158,100,248,2,1,0.0020716304591408,0.0007344671362221,3,"""8,9,10"""
2012-12-04T12:00:00,22.75,158,125,248,2,1,0.0009678089909877,0.0002533831726553,3,"""5,6,7"""
