time,lat,lon,depth,cruise,station,cast,C14_assimilation_prochlorococcus,C14_assimilation_synechococcus,C14_assimilation_pico,Bottle,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-02-13T12:00:00,22.75,-158,5,249,2,1,0.103171684534716,0.0070878176439681,0.0581194241941344,"""20,21,22""",23.258981863657635,24.022895018259685,35.169419606526695,0.0196682988510777,0.103601299226284,1.4413443108399708,4.946481545766194,1.4476002381e-06,0.2883674291273334,222.8208847048334,6.447436889013335,0.0003847832667816,0.0411547903592333,0.5078740902243958
2012-02-13T12:00:00,22.75,-158,25,249,2,1,0.1114163913064909,0.0055982880489244,0.048125883691392,"""17,18,19""",23.18282429377238,24.131312052408852,35.174973805745445,0.0114991679632415,0.1053579021245241,1.483890990416209,4.9197598695755005,1.4921742364e-06,0.2880272782511666,222.82088470483328,6.4407826529605545,0.000333561382528,0.0418540512522,0.5048048281007778
2012-02-13T12:00:00,22.75,-158,45,249,2,1,0.0535452698509696,0.0037491348075023,0.0246644385429368,"""14,15,16""",23.086984157562256,24.25643714269002,35.187024434407554,0.0158185337980588,0.1033328336973985,1.5231979091962178,4.916482885678609,1.6806766609e-06,0.2876515810686667,222.84797795641663,6.431496381759168,0.0003042749716163,0.04324684261035,0.4996943697332499
2012-02-13T12:00:00,22.75,-158,75,249,2,1,0.0627223068533952,0.0032496246632011,0.013023038261711,"""11,12,13""",22.856654326121014,24.45780865351359,35.20476563771566,0.0292907931531469,0.1108645237982273,1.5011731783548992,4.87395163377126,3.3736346646e-06,0.2866676151751666,223.60215504983333,6.393010616303332,0.0002680232864803,0.04930456293125,0.4815579354761666
2012-02-13T12:00:00,22.75,-158,100,249,2,1,0.0129542442060413,0.0006683967722148,0.001169928075317,"""8,9,10""",22.482670307159424,24.67149519920349,35.217992305755615,0.0797295705415308,0.1281955987215042,1.5775045454502106,4.838728189468384,,,,,,,
2012-02-13T12:00:00,22.75,-158,125,249,2,1,0.0140112797549998,,0.0031370110435238,"""5,6,7""",21.625847339630127,25.034608840942383,35.199296951293945,0.4892679005861282,0.1644325237721204,1.880927413702011,4.728377103805542,,,,,,,
2012-03-07T12:00:00,22.75,-158,5,250,2,2,0.105646128772871,0.0206969826426629,0.0613263224686007,"""21,22,23""",23.286750952402752,23.895831902821858,35.043346087137856,0.0324666365049779,0.0983249228447675,1.3480171859264374,4.90423321723938,1.2682923096e-06,0.2896963804959999,223.0983646711772,6.481474916140624,0.000397463521646,0.041562009486375,0.5169168425102396
2012-03-07T12:00:00,22.75,-158,25,250,2,2,0.172045564379431,0.0200844069721368,0.0506533729439687,"""17,18,19""",23.18064324061076,24.06411027908325,35.077487309773765,0.0181214820283154,0.0845138461639483,1.44292014837265,4.902858932813008,1.3312541082e-06,0.2887629345059166,223.0882937113611,6.466528031560833,0.000346878008309,0.0420976044196222,0.514681380656
2012-03-07T12:00:00,22.75,-158,45,250,2,2,0.1770512049276119,0.0202185790838807,0.0357874811543205,"""14,15,16""",23.02691109975179,24.234227657318115,35.10498142242432,0.0279702465049922,0.0772148221731185,1.4209625323613484,4.899670799573262,2.4410379637e-06,0.2848101531465,223.35372670487496,6.407299101352083,0.0003117502092208,0.0440477323718291,0.506905646373875
2012-03-07T12:00:00,22.75,-158,75,250,2,2,0.193254058308463,0.0141321782806558,0.0078616107366766,"""11,12,13""",22.683993180592854,24.506888071695965,35.1489642461141,0.0303406131764252,0.0713644338150819,1.450615257024765,4.898350993792216,0.0002286249274262,0.2740548327565833,224.6425310770833,6.247867941855,0.0002804038861843,0.0556820007040999,0.48393850525225
2012-03-07T12:00:00,22.75,-158,100,250,2,2,0.0661173041672117,0.0049600278681033,0.0151356533040864,"""8,9,10""",22.31283736228943,24.701764822006226,35.15647506713867,0.0598843684419989,0.079277710057795,1.5051746219396591,4.837761402130127,,,,,,,
2012-03-07T12:00:00,22.75,-158,125,250,2,2,0.0078184989787783,0.0003825770468297,0.0030049474816391,"""5,6,7""",21.575151920318604,25.007315635681152,35.15925598144531,0.4600139185786247,0.113671513274312,1.7053894102573397,4.734677672386169,,,,,,,
2012-04-06T12:00:00,22.75,-158,5,251,2,1,0.145863321655095,0.0059188991432426,0.0314534134384776,"""21,22,23""",23.486111640930176,23.84548012415568,35.063266118367515,0.0252547939696038,0.0882841323812802,1.490135629971822,4.918706178665161,2.9121977978e-06,0.3323591003813332,223.4746907549999,7.090975046158327,0.0004487528949539,0.0402475093336166,0.5366223243375209
2012-04-06T12:00:00,22.75,-158,25,251,2,1,0.127388618756033,0.0051022537090227,0.0304111506721805,"""17,18,19""",23.358546257019043,23.9990660349528,35.0887934366862,0.0225895795350273,0.0861195915689071,1.316367040077845,4.962060689926148,3.3278634058e-06,0.3324068850939999,223.5930726791666,7.0883095794272215,0.0003857996263023,0.0410604143722166,0.5336628556252222
