time,lat,lon,depth,hot_cruise,cast,C14_assimilation_light,C14_assimilation_light_stdev
2012-01-18T12:30:00,22.75,-158,100,239,2,0.0567,0.0080083
2012-01-18T12:30:00,22.75,-158,125,239,2,0.0211,0.0023583
2012-05-01T11:15:00,22.75,-158,5,241,1,0.3762,0.0238
2012-05-01T11:15:00,22.75,-158,25,241,1,0.3782,0.0908
2012-05-01T11:15:00,22.75,-158,45,241,1,0.3385,0.0317
2012-05-01T11:15:00,22.75,-158,75,241,1,0.2346,0.0967
2012-05-01T11:15:00,22.75,-158,100,241,1,0.1689,0.1278
2012-05-01T11:15:00,22.75,-158,125,241,1,0.0833,0.0035333
2012-05-30T11:30:00,22.75,-158,5,242,1,0.3444,0.0496
2012-05-30T11:30:00,22.75,-158,25,242,1,0.3943,0.1051
2012-05-30T11:30:00,22.75,-158,45,242,1,0.3335,0.0228
2012-05-30T11:30:00,22.75,-158,75,242,1,0.1635,0.0765
2012-05-30T11:30:00,22.75,-158,100,242,1,0.1192,0.0273
2012-05-30T11:30:00,22.75,-158,125,242,1,0.05,0.0062
2012-06-26T12:00:00,22.75,-158,5,243,1,0.2969,0.1048
2012-06-26T12:00:00,22.75,-158,25,243,1,0.3735,0.067
2012-06-26T12:00:00,22.75,-158,45,243,1,0.2283,0.0975
2012-06-26T12:00:00,22.75,-158,75,243,1,0.1685,0.083
2012-06-26T12:00:00,22.75,-158,100,243,1,0.132,0.0673
2012-06-26T12:00:00,22.75,-158,125,243,1,0.0711,0.0083766
2012-07-31T12:15:00,22.75,-158,5,244,2,0.1847,0.0299
2012-07-31T12:15:00,22.75,-158,25,244,2,0.1817,0.0459
2012-07-31T12:15:00,22.75,-158,45,244,2,0.2348,0.0725
2012-07-31T12:15:00,22.75,-158,75,244,2,0.1599,0.0929
2012-07-31T12:15:00,22.75,-158,100,244,2,0.0696,0.022
2012-07-31T12:15:00,22.75,-158,125,244,2,0.0497,0.0090418
2012-08-17T12:00:00,22.75,-158,5,245,1,0.3955,0.0328
