time,lat,lon,depth,time_out,Lat_out,Long_out,pres,temp,salt,lt1,lt2,lt3,dark,t0,pp,Cruise_ID,niskin_flag,UNOLS,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
1995-11-11T00:00:00,31.666,-64.167,20.0,1995-11-11T00:00,,,,,36.518,6.64,5.15,6.1,0.47,0.77,5.49,1008608102,2,,23.730600039164223,24.930803616841636,36.55014101664225,0.0967354613045851,0.0207557917262117,0.7206343412399292,4.826769987742106,0.3700809435810817,0.0547884646596174,219.0990941365305,2.640176616112778,0.0073964748301976,0.2310067469668146,1.321903730266722
1995-11-11T00:00:00,31.666,-64.167,40.0,1995-11-11T00:00,,,,,36.517,6.29,5.99,5.86,0.46,0.31,5.59,1008608103,2,,23.660235087076824,25.04207928975423,36.54957008361816,0.0875912110010782,0.0147525606056054,0.7534438669681549,4.874513149261475,0.4045686251444557,0.0584931497772608,219.0034320831083,2.6496343513329164,0.0032285188669142,0.2288637774065275,1.1919122467437169
1995-11-11T00:00:00,31.666,-64.167,60.0,1995-11-11T00:00,,,,,36.516,2.63,2.55,2.73,0.41,0.42,2.23,1008608104,2,,23.296231905619305,25.28965822855632,36.56774393717448,0.0718678589910268,0.0149961866748829,0.7397680183251699,4.935514609018962,0.6371710163051753,0.07662824296083,220.0108898162667,2.70810875693975,0.0029359849041302,0.2649637454810333,1.1749739443260083
1995-11-11T00:00:00,31.666,-64.167,80.0,1995-11-11T00:00,,,,,36.63,4.14,3.28,3.35,0.47,0.4,3.12,1008608105,2,,22.019246737162277,25.785205841064453,36.60505231221517,0.2386515587568283,0.0201553429166475,0.7380137840906779,5.015701770782471,2.6919889710217424,0.2165087714169525,218.53041877745,3.2629902084670004,0.0016911771015046,0.2843946213523584,0.8881688632073917
1995-11-11T00:00:00,31.666,-64.167,100.0,1995-11-11T00:00,,,,,36.613,0.85,0.67,,0.38,0.57,0.38,1008608106,2,,20.797226905822757,26.159159660339355,36.62366580963135,0.4692528024315834,0.0247630821540951,0.7309742867946625,4.974376082420349,,,,,,,
1995-11-11T00:00:00,31.666,-64.167,120.0,1995-11-11T00:00,,,,,36.605,0.36,0.59,0.32,0.34,0.3,0.09,1008608107,2,,19.633150100708008,26.604145050048828,36.601661682128906,0.9410360753536224,0.0455969013273716,0.8471731543540955,4.747579097747803,,,,,,,
1995-11-11T00:00:00,31.666,-64.167,140.0,1995-11-11T00:00,,,,,36.593,0.3,0.34,0.38,0.23,0.49,0.11,1008608108,2,,,,,,,,,,,,,,,
1995-12-15T00:00:00,31.666,-64.164,1.0,1995-12-15T00:00,,,,,36.592,3.73,3.52,3.24,0.34,0.35,3.15,1008708101,2,,22.225802421569824,25.36694049835205,36.56581878662109,0.149033136665821,0.0501634599640965,0.7505600452423096,4.944244980812073,0.9814954962405332,0.0971133784757774,223.39468231200007,2.741214486324018,0.0209681291821962,0.3363661284586545,1.8832234321218049
1995-12-15T00:00:00,31.666,-64.164,20.0,1995-12-15T00:00,,,,,36.591,5.22,5.67,5.92,0.25,0.32,5.36,1008708102,2,,22.218299865722656,25.42464033762614,36.57372220357259,0.1458338101704915,0.044914074242115,1.043425460656484,4.940638462702434,0.9962918250303592,0.0990568887197896,223.072946644793,2.74539513901023,0.0115791688269839,0.3314606771249319,1.7435760972174927
1995-12-15T00:00:00,31.666,-64.164,40.0,1995-12-15T00:00,,,,,36.591,4.28,4.49,4.4,0.34,0.27,4.06,1008708103,2,,22.17289384206136,25.52690919240316,36.5696538289388,0.1515795687834421,0.0443733508388201,0.8471308747927347,4.928881645202637,1.0459967381033797,0.1046491949254855,222.25759332826516,2.7607442664382584,0.0037415954593048,0.3058742255423864,1.4648689812778708
