time,lat,lon,depth,hot_cruise,cast,C14_assimilation_light,C14_assimilation_light_stdev,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2010-05-18T11:44:00,22.75,-158,45,221,2,0.4986,0.0961,23.619329293568928,24.052526473999023,35.086423556009926,0.0328138878879447,0.0894564197709163,1.038264160354932,4.941992282867432,1.04639068595e-05,0.3085065439757055,222.258216730814,8.950252465406892,0.0003681022099853,0.03951205401164,0.5263280071318055
2010-05-18T11:44:00,22.75,-158,75,221,2,0.0797,0.0359,22.763689200083416,24.49024566014608,35.193522135416664,0.0446956654389699,0.087703429783384,1.1319297850131989,4.962435722351074,0.0049721018217674,0.293598118921089,227.18346964515544,8.710759764247278,0.0006510970648377,0.06702569044298,0.5427588587005723
2010-05-18T11:44:00,22.75,-158,100,221,2,0.0337,0.0181,22.129935026168823,24.768210411071777,35.2032732963562,0.0727875116281211,0.0889349430799484,1.2360024005174637,4.92960399389267,,,,,,,
2010-05-18T11:44:00,22.75,-158,125,221,2,0.0751,0.03,21.306829929351807,25.1243748664856,35.17545318603516,0.2914169933646917,0.1139100175350904,1.3628699779510498,4.828535079956055,,,,,,,
2010-06-08T11:20:00,22.75,-158,5,222,2,0.2549,0.1695,25.05912717183431,23.400769074757893,34.99143886566162,0.0186394723132252,0.0882373216251532,1.0117295980453491,4.809463858604431,5.907658027669028e-07,0.3175317637862426,217.3430118560561,9.121325012815944,0.0006574928689998,0.0345082270727553,0.5832256828184301
2010-06-08T11:20:00,22.75,-158,25,222,2,0.3085,0.0341,24.90550661087036,23.52437241872152,34.99944496154785,0.0257164613770631,0.0859629673262437,0.9195530712604524,4.874820709228516,9.013293000050676e-07,0.3164611711937903,218.0583060753207,9.106791502258847,0.0005140797398115,0.035315665620041,0.5714856886094695
2010-06-08T11:20:00,22.75,-158,45,222,2,0.3076,0.1009,24.332985242207844,23.814709663391117,35.05441665649414,0.0292823418276384,0.0808621980249881,0.9420692125956216,4.951457977294922,1.19720888896e-05,0.3085317213929139,221.0654581952124,8.994489536492122,0.000387415097105,0.0391227964972776,0.5304009479380482
2010-06-08T11:20:00,22.75,-158,75,222,2,0.2482,0.0392,23.02771377563477,24.366904576619465,35.12551085154215,0.0321444626121471,0.0666305590420961,1.0211324244737623,5.010449647903442,0.010771925792365,0.2874763579938816,228.37049201223653,8.647527838266774,0.00076020999764,0.0671825513283704,0.5456628637608926
2010-06-08T11:20:00,22.75,-158,100,222,2,0.1742,0.036,22.22269582748413,24.74429392814636,35.17820167541504,0.0266596289802691,0.0771427927538752,1.120781883597374,4.9530088901519775,,,,,,,
2010-06-08T11:20:00,22.75,-158,125,222,2,0.0633,0.0020667,21.257750034332275,25.13637113571167,35.18263053894043,0.2718379776924848,0.1081026997417211,1.293029397726059,4.7867631912231445,,,,,,,
2010-07-08T11:25:00,22.75,-158,5,223,2,0.3853,0.1188,25.5396990776062,23.222113291422527,35.01568476359049,0.0140031838479141,0.073916792559127,1.12903327246507,4.791434486707051,5.108408955302488e-07,0.3113366711677746,215.1765986866468,9.268743878272732,0.0006912260959426,0.0347621636930822,0.5829809358136749
2010-07-08T11:25:00,22.75,-158,25,223,2,0.2946,0.0568,25.440831661224365,23.352518876393635,35.01708475748698,0.0118580121003712,0.0679115264986952,1.1166531493266425,4.7847721974054975,6.266289986456311e-07,0.3096963221276279,216.0524015356073,9.250729999721552,0.0005329280290795,0.0355914092657183,0.5697558161285184
2010-07-08T11:25:00,22.75,-158,125,223,2,0.0378,0.0147,21.338520526885983,25.03589773178101,35.17867183685303,0.5678291618824005,0.1218597237020731,1.8741206526756289,4.7527830600738525,,,,,,,
2010-08-07T11:20:00,22.75,-158,5,224,2,0.2932,0.0744,25.96871328353882,23.146589756011963,35.0520216623942,0.0396354886858413,0.1815417346855004,1.6406154036521912,4.735148111979167,5.362104289474744e-07,0.3160221305705721,213.56732241316135,9.240559438544604,0.0007562687144962,0.0354001634949516,0.5859942299223591
2010-08-07T11:20:00,22.75,-158,25,224,2,0.3449,0.0775,25.890174865722656,23.262527465820312,35.057369232177734,0.045735170909514,0.1652564952770868,1.56561612089475,4.770880142847697,6.475304268887723e-07,0.3150191769591109,214.33436518843004,9.222033912564452,0.0005728254237318,0.0362315450237537,0.5711858398598026
2010-08-07T11:20:00,22.75,-158,45,224,2,0.3496,0.095,25.62154944737752,23.4526104927063,35.08309427897135,0.0463107631852229,0.1517875169714292,1.6314579248428345,4.842806498209636,1.1107493897e-06,0.3086013493518603,217.691694608309,9.124092530177853,0.0004256107321482,0.0394222430524338,0.5301250477311615
2010-08-07T11:20:00,22.75,-158,75,224,2,0.2663,0.0138,23.77876377105713,24.189818541208904,35.157459576924644,0.0490746373931566,0.1434037076930205,1.7771585583686829,5.060176412264506,3.851658284e-05,0.2808876318796667,229.4270952286128,8.720909085326827,0.0002714641230595,0.0511736178029591,0.4793879689388496
