time,lat,lon,depth,UCYN_A1_nifH_genes_mean,UCYN_A1_nifH_genes_stdev,N2_fixation_rate_mean,N2_fixation_rate_stdev,fixation_rate_13C_mean,fixation_rate_13C_stdev,Trichodesmium_nifH_genes_mean,Trichodesmium_nifH_genes_stdev,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2017-05-28T18:27:00,25.7682965,-158.014165,15,198357.119382336,28000.5844512244,10.1928768394041,1.51028688665542,331.728755454013,134.61257825799,1105.85547021782,14.9188100083968,23.00501012802124,24.247536182403564,35.16574192047119,0.1473230154563983,0.1287137096126874,1.4705070753892262,5.009918252627055,5.4818936945375e-07,0.311985746026,218.535012245375,10.6826398372625,0.0004507503799686,0.0341706578619937,0.5479373000561251
2017-05-29T04:40:00,26.44829,-157.999778333333,15,77523.1352616127,51947.3198264821,,,,,1137.02417446416,332.972727651226,22.763648351033527,24.34043820699056,35.18610191345215,0.1738851616779963,0.1350453061362107,1.5838650663693743,5.039760033289592,5.332258474766875e-07,0.3102337848394375,219.5145702363125,10.760496377937498,0.0004283835605747,0.0336035129148625,0.5395952202379375
2017-05-29T08:49:00,27.214295,-157.999043333333,15,485055.366235971,73311.0709632576,,,,,113690.684423685,148578.365423613,22.470125516255692,24.42634026209513,35.1921656926473,0.2018454757829507,0.1423423023273547,1.7585530281066897,5.074768424034119,5.633407198501875e-07,0.303645782173,221.442085266,10.797767162325002,0.0003682707883853,0.032584524946275,0.5290394574404375
2017-05-29T12:18:00,27.8446133333333,-158.001395,15,696104.589109375,143371.826762996,,,,,1347.03878793661,237.828811428553,21.826642990112305,24.588197231292725,35.18473974863688,0.2529552777608235,0.1567287929356098,2.176812340815862,5.144169807434082,5.723302258786875e-07,0.2860913258048749,223.0997924805,11.0183523297375,0.0003222170253139,0.030301958671775,0.5058692563325625
2017-05-29T17:34:00,28.4708333333333,-157.997833333333,15,554874.098913075,34667.7711388716,18.9507527677319,4.072798560450329,399.3455900737191,76.0364126193457,5132.65182802464,6253.87859056327,21.476683298746742,24.664152145385746,35.17125002543131,0.276104765633742,0.1638182873527209,2.42038369178772,5.178562800089519,7.5626626205e-06,0.2767228204758125,226.1093721390625,11.019121229675,0.0002827795378834,0.0294137296732437,0.492261217907
2017-05-29T23:57:00,29.228145,-157.999715,15,911758.869037638,57759.8093264597,,,,,3522.2497551124,3491.54070360112,21.07425006230672,24.732007026672363,35.13456662495931,0.2897674453755219,0.1701881674428781,2.738373378912608,5.207277774810791,0.0002423480651714,0.2653501145543124,230.6252880096875,11.1325505375875,0.0003202572806911,0.0281953085213875,0.471040520817125
2017-05-30T04:25:00,30.0204233333333,-157.999586666667,15,537694.7013081979,126326.02754894,,,,,24967.0469863407,23871.4350611098,20.22760089238485,24.86410506566365,35.04020627339681,0.3005137294530868,0.1830804534256458,3.413381894429525,5.26289168993632,0.000258320737032,0.261119926348375,233.1241312026875,11.2438620924875,0.0003374193975104,0.0286329050432,0.4737798022106562
2017-05-30T09:28:00,30.9271683333333,-158.002636666667,15,424830.611227559,98759.7226598894,,,,,62256.9156429517,7896.29050351698,19.31529998779297,24.990851561228435,34.91012318929037,0.2793827826778094,0.1966926666597525,4.120181779066722,5.328730384508769,0.1048892778781535,0.2625592183322812,237.0265688897188,11.591977626071872,0.0024730435043236,0.0500433985726,0.7348679825660314
2017-05-30T17:42:00,32.25810999999999,-157.99977,15,237402.272540962,28641.2758608435,15.0410651239812,1.01560368657817,427.429583529232,79.6253765484865,0.0,,17.898762385050457,25.16785844167073,34.68245506286621,0.2081143309672673,0.2204583709438642,5.062511682510376,5.491774638493856,0.1639145827287089,0.2562921228819375,241.57624244687497,11.78734672069375,0.0028153071120869,0.0552382293972281,0.7648814897984375
2017-05-30T23:33:00,33.0426633333333,-157.99555,15,4209.35128668536,425.71029037597,,,,,0.0,,17.43555196126302,25.216905911763508,34.607605934143066,0.1868383400142192,0.2319700680673122,5.273188392321269,5.574521899223328,1.3255101051179687,0.3300945209339375,252.4127783774375,12.962497323746874,0.0049915053095903,0.082364997128025,1.0425766743715623
2017-05-31T02:31:00,33.5421016666667,-157.999885,15,0.0,,,,,,0.0,,16.972341537475586,25.26595338185628,34.53275680541992,0.1655623490611712,0.2434817651907602,5.483865102132161,5.6572691599528,1.9442468211053123,0.3741095867008437,254.91996622078125,13.302650004618751,0.0049191088764931,0.0864495136775062,1.0485086254775
2017-05-31T06:07:00,34.18764,-157.999276666667,15,0.0,,,,,,0.0,,16.53118062019348,25.30926211675008,34.466623306274414,0.1692211733510097,0.2601480111479759,5.577037453651428,5.749367515246074,2.371558785438437,0.405151708051625,256.0467205047188,13.442934811121876,0.0050580004899537,0.0935983222443562,1.06286895647625
