time,lat,lon,depth,event,eddy,sample,C14_assimilation,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Control A,0.30496508527995,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Control B,0.4186983839567004,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Control C,0.501789787330012,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Fe' A,1.1981195750496347,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Fe' B,0.6354146021785536,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Fe' C,0.3909719292831544,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Fe Amphibactins A,0.9339173241763298,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Fe Amphibactins B,1.1199749102294465,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,25,L1C01/L1C02,Cyclone - 1,Fe Amphibactins C,1.5032794211291292,25.23976389567057,23.527713139851887,35.169995625813804,0.0192123471448818,0.0963513304789861,1.117344895998637,4.781751950581868,5.826940423504167e-07,0.3081761052208333,215.1253000895,10.817977984758334,0.0004668674033989,0.034163526259375,0.5528758168220833
2017-07-08T05:30:00,24.726383,-158.560583,80,L1C01/L1C02,Cyclone - 1,Control A,0.3425318808783785,22.299569447835285,24.64371681213379,35.1907590230306,0.0099352439865469,0.0728471962114175,1.7979402939478557,5.061930974324544,8.7226110281e-06,0.29122445732375,231.073738098,10.57925748825,0.0002453341257932,0.0467820251360749,0.4572804868225
2017-07-08T05:30:00,24.726383,-158.560583,80,L1C01/L1C02,Cyclone - 1,Control B,0.2774229321144117,22.299569447835285,24.64371681213379,35.1907590230306,0.0099352439865469,0.0728471962114175,1.7979402939478557,5.061930974324544,8.7226110281e-06,0.29122445732375,231.073738098,10.57925748825,0.0002453341257932,0.0467820251360749,0.4572804868225
2017-07-08T05:30:00,24.726383,-158.560583,80,L1C01/L1C02,Cyclone - 1,Control C,0.2712407548477236,22.299569447835285,24.64371681213379,35.1907590230306,0.0099352439865469,0.0728471962114175,1.7979402939478557,5.061930974324544,8.7226110281e-06,0.29122445732375,231.073738098,10.57925748825,0.0002453341257932,0.0467820251360749,0.4572804868225
2017-07-08T05:30:00,24.726383,-158.560583,80,L1C01/L1C02,Cyclone - 1,Fe' A,0.3632741774738781,22.299569447835285,24.64371681213379,35.1907590230306,0.0099352439865469,0.0728471962114175,1.7979402939478557,5.061930974324544,8.7226110281e-06,0.29122445732375,231.073738098,10.57925748825,0.0002453341257932,0.0467820251360749,0.4572804868225
