time,lat,lon,depth,station,C14_assimilation,C14_assimilation_stdev,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2015-07-26T14:00:00,24.268617000000003,-156.815167,150,3,6.046233923024725,1.2338083467235,19.64095497131348,25.59209156036377,35.07215690612793,2.4380385875701904,0.2596696987748146,3.026509523391724,4.751612663269043,,,,,,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,175,3,,,18.59580421447754,25.904118537902832,34.95025444030762,3.406628727912903,0.3001028448343277,3.738128662109375,4.7067177295684814,,,,,,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,250,3,1.418736609285666,0.3968786459970176,14.970904350280762,26.756515502929688,34.514455795288086,7.344727754592895,0.5587140619754791,7.035322904586792,4.563142776489258,,,,,,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,300,3,1.1732562319483473,0.4283991788689249,12.681195259094238,27.290066719055176,34.31486129760742,10.888243675231934,0.7959083914756775,10.747212409973145,4.564579486846924,,,,,,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,500,3,,,7.518305063247681,28.92170238494873,34.05973815917969,27.033611297607425,2.016418218612671,43.499549865722656,3.1923232078552246,,,,,,,
2015-07-26T14:00:00,24.268617000000003,-156.815167,750,3,,,4.774749994277954,30.596596717834476,34.23740005493164,,,,0.6332173049449921,,,,,,,
2015-07-28T03:00:00,24.568567,-156.6705,150,10,8.451704858270551,7.185474111932387,19.625200271606445,25.590471267700195,35.073001861572266,2.6028923988342285,0.2799196243286133,3.043909788131714,4.753077507019043,,,,,,,
2015-07-28T03:00:00,24.568567,-156.6705,175,10,,,18.586109161376957,25.901582717895508,34.95161056518555,3.5453693866729736,0.3062666654586792,3.766280651092529,4.7073845863342285,,,,,,,
2015-07-28T03:00:00,24.568567,-156.6705,250,10,3.419332629946834,3.2131502490940163,14.930899620056152,26.75404357910156,34.510799407958984,7.4016432762146,0.5612662434577942,6.972431659698486,4.562960624694824,,,,,,,
2015-07-28T03:00:00,24.568567,-156.6705,300,10,1.111037647037393,0.336112005198706,12.651890754699709,27.290475845336918,34.31061172485352,10.999134063720703,0.8004643321037292,10.770686149597168,4.570548534393311,,,,,,,
2015-07-28T03:00:00,24.568567,-156.6705,500,10,0.4813684488527688,0.3309301281823415,7.484010219573975,28.923873901367188,34.056488037109375,27.047122955322266,2.0038843154907227,43.356224060058594,3.153412103652954,,,,,,,
2015-07-28T03:00:00,24.568567,-156.6705,750,10,0.3391871876997189,0.1310393635479332,4.780409812927246,30.59799194335937,34.23821258544922,,,,0.6292487978935242,,,,,,,
2015-07-31T13:30:00,24.5671,-156.29673300000002,150,19,7.756087208072044,2.241604750024045,19.625200271606445,25.590471267700195,35.073001861572266,2.6028923988342285,0.2799196243286133,3.043909788131714,4.753077507019043,,,,,,,
2015-07-31T13:30:00,24.5671,-156.29673300000002,175,19,0.8942628473650571,0.7790608239375806,18.586109161376957,25.901582717895508,34.95161056518555,3.5453693866729736,0.3062666654586792,3.766280651092529,4.7073845863342285,,,,,,,
2015-07-31T13:30:00,24.5671,-156.29673300000002,250,19,1.973757769490516,0.4527130719926014,14.930899620056152,26.75404357910156,34.510799407958984,7.4016432762146,0.5612662434577942,6.972431659698486,4.562960624694824,,,,,,,
2015-07-31T13:30:00,24.5671,-156.29673300000002,300,19,1.4361493325673305,0.9261752511980278,12.651890754699709,27.290475845336918,34.31061172485352,10.999134063720703,0.8004643321037292,10.770686149597168,4.570548534393311,,,,,,,
2015-07-31T13:30:00,24.5671,-156.29673300000002,500,19,0.1662304440865662,0.0919917191530035,7.484010219573975,28.923873901367188,34.056488037109375,27.047122955322266,2.0038843154907227,43.356224060058594,3.153412103652954,,,,,,,
2015-07-31T13:30:00,24.5671,-156.29673300000002,750,19,0.270971977905893,0.2914510653828051,4.780409812927246,30.59799194335937,34.23821258544922,,,,0.6292487978935242,,,,,,,
