time,lat,lon,depth,event,eddy,sample,C14_assimilation
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Control A,0.7933535531421116
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Control B,1.2284854056132457
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Control C,0.8830718281417144
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Fe' A,0.8052726248596012
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Fe' B,0.8951278071628809
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Fe' C,0.8843754747976469
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Fe Amphibactins A,2.480765778807767
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Fe Amphibactins B,3.6813797447474426
2017-07-15T06:56:00,26.4933,-158.44223300000002,25,L2-TMCTD,Anticyclone -1,Fe Amphibactins C,3.5556829237491083
2017-07-15T06:56:00,26.4933,-158.44223300000002,80,L2-TMCTD,Anticyclone -1,Control A,0.2700395113986233
2017-07-15T06:56:00,26.4933,-158.44223300000002,80,L2-TMCTD,Anticyclone -1,Control B,0.2515314666355787
2017-07-15T06:56:00,26.4933,-158.44223300000002,80,L2-TMCTD,Anticyclone -1,Control C,0.2486311108743837
2017-07-15T06:56:00,26.4933,-158.44223300000002,80,L2-TMCTD,Anticyclone -1,Fe' A,0.2679148408325181
2017-07-15T06:56:00,26.4933,-158.44223300000002,80,L2-TMCTD,Anticyclone -1,Fe' B,0.2357769465301221
2017-07-15T06:56:00,26.4933,-158.44223300000002,80,L2-TMCTD,Anticyclone -1,Fe' C,0.2383541504405374
2017-07-15T06:56:00,26.4933,-158.44223300000002,100,L2-TMCTD,Anticyclone -1,Control A,0.1381459297663561
2017-07-15T06:56:00,26.4933,-158.44223300000002,100,L2-TMCTD,Anticyclone -1,Control B,0.1258407023372439
2017-07-15T06:56:00,26.4933,-158.44223300000002,100,L2-TMCTD,Anticyclone -1,Control C,0.1654473107819863
2017-07-15T06:56:00,26.4933,-158.44223300000002,100,L2-TMCTD,Anticyclone -1,Fe' A,0.1623211911741357
2017-07-15T06:56:00,26.4933,-158.44223300000002,100,L2-TMCTD,Anticyclone -1,Fe' B,0.272897407697626
2017-07-15T06:56:00,26.4933,-158.44223300000002,100,L2-TMCTD,Anticyclone -1,Fe' C,0.1591591191470372
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Control A,0.135
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Control B,0.2107377488369792
